# Grid-search results — V2_LAYER_WEIGHTS sensitivity
# Generated 2026-04-30 PM. Increment=0.05, weights summing to 1.0.
# Score formula = exact_plus_half_adj (composite eval objective).
# Per position: top-N configurations, sorted by score desc.


=== QB (top 20 of 8246) ===
  score=1.0431 exact=0.638 adj=0.810 n=58 | BODY=0.00 DRAFT=0.30 EFFICIENCY=0.25 TRAITS=0.25 VOLUME=0.20
  score=1.0431 exact=0.655 adj=0.776 n=58 | BODY=0.00 DRAFT=0.30 EFFICIENCY=0.20 TRAITS=0.20 VOLUME=0.30
  score=1.0345 exact=0.638 adj=0.793 n=58 | BODY=0.00 DRAFT=0.25 EFFICIENCY=0.25 TRAITS=0.30 VOLUME=0.20
  score=1.0345 exact=0.638 adj=0.793 n=58 | BODY=0.00 DRAFT=0.30 EFFICIENCY=0.20 TRAITS=0.25 VOLUME=0.25
  score=1.0345 exact=0.638 adj=0.793 n=58 | BODY=0.05 DRAFT=0.30 EFFICIENCY=0.20 TRAITS=0.25 VOLUME=0.20
  score=1.0345 exact=0.638 adj=0.793 n=58 | BODY=0.05 DRAFT=0.30 EFFICIENCY=0.20 TRAITS=0.20 VOLUME=0.25
  score=1.0259 exact=0.621 adj=0.810 n=58 | BODY=0.00 DRAFT=0.25 EFFICIENCY=0.30 TRAITS=0.45 VOLUME=0.00
  score=1.0259 exact=0.621 adj=0.810 n=58 | BODY=0.00 DRAFT=0.30 EFFICIENCY=0.35 TRAITS=0.35 VOLUME=0.00
  score=1.0259 exact=0.621 adj=0.810 n=58 | BODY=0.00 DRAFT=0.20 EFFICIENCY=0.25 TRAITS=0.50 VOLUME=0.05
  score=1.0259 exact=0.621 adj=0.810 n=58 | BODY=0.00 DRAFT=0.25 EFFICIENCY=0.25 TRAITS=0.45 VOLUME=0.05
  score=1.0259 exact=0.621 adj=0.810 n=58 | BODY=0.00 DRAFT=0.25 EFFICIENCY=0.35 TRAITS=0.30 VOLUME=0.10
  score=1.0259 exact=0.638 adj=0.776 n=58 | BODY=0.00 DRAFT=0.30 EFFICIENCY=0.20 TRAITS=0.30 VOLUME=0.20
  score=1.0259 exact=0.621 adj=0.810 n=58 | BODY=0.00 DRAFT=0.30 EFFICIENCY=0.35 TRAITS=0.15 VOLUME=0.20
  score=1.0259 exact=0.638 adj=0.776 n=58 | BODY=0.00 DRAFT=0.30 EFFICIENCY=0.15 TRAITS=0.30 VOLUME=0.25
  score=1.0259 exact=0.638 adj=0.776 n=58 | BODY=0.00 DRAFT=0.25 EFFICIENCY=0.20 TRAITS=0.30 VOLUME=0.25
  score=1.0259 exact=0.621 adj=0.810 n=58 | BODY=0.00 DRAFT=0.30 EFFICIENCY=0.25 TRAITS=0.20 VOLUME=0.25
  score=1.0259 exact=0.621 adj=0.810 n=58 | BODY=0.05 DRAFT=0.30 EFFICIENCY=0.35 TRAITS=0.30 VOLUME=0.00
  score=1.0259 exact=0.638 adj=0.776 n=58 | BODY=0.05 DRAFT=0.25 EFFICIENCY=0.20 TRAITS=0.30 VOLUME=0.20
  score=1.0259 exact=0.638 adj=0.776 n=58 | BODY=0.05 DRAFT=0.25 EFFICIENCY=0.25 TRAITS=0.25 VOLUME=0.20
  score=1.0259 exact=0.621 adj=0.810 n=58 | BODY=0.10 DRAFT=0.15 EFFICIENCY=0.55 TRAITS=0.15 VOLUME=0.05
  ... (worst: score=0.6121 | BODY=0.00 DRAFT=0.00 EFFICIENCY=0.60 TRAITS=0.35 VOLUME=0.05)

=== RB (top 20 of 1211) ===
  score=1.0667 exact=0.600 adj=0.933 n=105 | BODY=0.15 DRAFT=0.25 TRAITS=0.60 VOLUME=0.00
  score=1.0667 exact=0.600 adj=0.933 n=105 | BODY=0.30 DRAFT=0.25 TRAITS=0.45 VOLUME=0.00
  score=1.0571 exact=0.600 adj=0.914 n=105 | BODY=0.30 DRAFT=0.30 TRAITS=0.40 VOLUME=0.00
  score=1.0524 exact=0.590 adj=0.924 n=105 | BODY=0.15 DRAFT=0.30 TRAITS=0.55 VOLUME=0.00
